traits_type,tax,auc
Oxygen_Preference,Bacillota,0.7874457174470512
Oxygen_Preference,Actinomycetota,0.8629617127877274
Oxygen_Preference,Pseudomonadota,0.8687942652662888
Gram_Status,Bacillota,0.7491987179487181
Gram_Status,Actinomycetota,0.8323863636363636
Motility,Bacillota,0.6181818181818182
Motility,Actinomycetota,0.6600985221674877
Spore_Formation,Bacillota,0.5636363636363636
Lactose,Bacillota,0.612962962962963
Lactose,Bacteroidota,0.744343891402715
Lactose,Actinomycetota,0.7096153846153846
Salicin,Bacillota,0.4560117302052785
Salicin,Bacteroidota,0.8064516129032258
Salicin,Actinomycetota,0.6219135802469136
Glycerol,Bacillota,0.6527777777777778
Glycerol,Bacteroidota,0.6015625
Glycerol,Actinomycetota,0.5712121212121212
Melibiose,Bacillota,0.5305555555555554
Melibiose,Bacteroidota,0.8125
Melibiose,Actinomycetota,0.7891304347826087
Maltose,Bacillota,0.6324137931034484
Maltose,Bacteroidota,0.6463844797178131
Maltose,Actinomycetota,0.6878402903811253
Sucrose,Bacillota,0.5872576177285318
Sucrose,Bacteroidota,0.6103678929765886
Sucrose,Actinomycetota,0.537842190016103
Trehalose,Bacillota,0.5538651315789473
Trehalose,Bacteroidota,0.5638888888888889
Trehalose,Actinomycetota,0.4651442307692308
Sorbitol,Bacillota,0.7096774193548386
