otu_id,phylum,genus,Oxygen_Preference,Oxygen_Preference_prob,Oxygen_Preference_source,Oxygen_Preference_auc,Gram_Status,Gram_Status_prob,Gram_Status_source,Gram_Status_auc,Motility,Motility_prob,Motility_source,Motility_auc,Spore_Formation,Spore_Formation_prob,Spore_Formation_source,Spore_Formation_auc,Lactose,Lactose_prob,Lactose_source,Lactose_auc,Salicin,Salicin_prob,Salicin_source,Salicin_auc,Glycerol,Glycerol_prob,Glycerol_source,Glycerol_auc,Melibiose,Melibiose_prob,Melibiose_source,Melibiose_auc,Maltose,Maltose_prob,Maltose_source,Maltose_auc,Sucrose,Sucrose_prob,Sucrose_source,Sucrose_auc,Trehalose,Trehalose_prob,Trehalose_source,Trehalose_auc,Sorbitol,Sorbitol_prob,Sorbitol_source,Sorbitol_auc
AAAA02020714.1.1202,Pseudomonadota,Sphingomonas,aerobic,0.538,SNE_predicted,0.8687942652662888,negative,0.607,SNE_predicted,0.7907925407925409,0,0.721,SNE_predicted,0.6391401701746529,0,0.925,SNE_predicted,0.5636363636363636,0,0.721,SNE_predicted,0.6889740796603542,0,0.709,SNE_predicted,0.6281256411184727,0,0.822,SNE_predicted,0.6085174663299663,0,0.788,SNE_predicted,0.7107286634460547,1,0.56,SNE_predicted,0.6555461877341289,0,0.53,SNE_predicted,0.5784892335737412,0,0.531,SNE_predicted,0.5276327504123557,0,0.955,SNE_predicted,0.7096774193548386
AAFJ01000001.39328.40836,Campylobacterota,Campylobacter,anaerobic,0.676,SNE_predicted,0.8397338985003557,negative,0.52,SNE_predicted,0.7907925407925409,0,0.789,SNE_predicted,0.6391401701746529,0,0.904,SNE_predicted,0.5636363636363636,0,0.506,SNE_predicted,0.6889740796603542,0,0.698,SNE_predicted,0.6281256411184727,0,0.877,SNE_predicted,0.6085174663299663,0,0.816,SNE_predicted,0.7107286634460547,1,0.642,SNE_predicted,0.6555461877341289,1,0.561,SNE_predicted,0.5784892335737412,0,0.709,SNE_predicted,0.5276327504123557,0,0.934,SNE_predicted,0.7096774193548386
AAQK01001555.694.2198,Bacillota,Solobacterium,anaerobic,0.834,SNE_predicted,0.7874457174470512,positive,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,
AAQK01003909.1492.2988,Actinomycetota,Tractidigestivibacter,anaerobic,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,
AATC01000018.2.1513,Bacillota,Incertae Sedis,anaerobic,0.63,SNE_predicted,0.7874457174470512,positive,0.636,SNE_predicted,0.7491987179487181,0,0.677,SNE_predicted,0.6181818181818182,0,0.835,SNE_predicted,0.5636363636363636,1,0.549,SNE_predicted,0.612962962962963,0,0.732,SNE_predicted,0.4560117302052785,0,0.885,SNE_predicted,0.6527777777777778,0,0.872,SNE_predicted,0.5305555555555554,1,0.692,SNE_predicted,0.6324137931034484,0,0.509,SNE_predicted,0.5872576177285318,0,0.624,SNE_predicted,0.5538651315789473,0,0.953,SNE_predicted,0.7096774193548386
AATF01002564.10.1217,Actinomycetota,Adlercreutzia,anaerobic,0.739,SNE_predicted,0.8629617127877274,positive,0.791,SNE_predicted,0.8323863636363636,0,0.784,SNE_predicted,0.6600985221674877,0,0.817,SNE_predicted,0.5636363636363636,0,0.549,SNE_predicted,0.7096153846153846,0,0.861,SNE_predicted,0.6219135802469136,0,0.948,SNE_predicted,0.5712121212121212,0,0.909,SNE_predicted,0.7891304347826087,1,0.637,SNE_predicted,0.6878402903811253,0,0.574,SNE_predicted,0.537842190016103,0,0.655,SNE_predicted,0.4651442307692308,0,0.986,SNE_predicted,0.7096774193548386
AAXA02000007.1.1294,Bacillota,Dorea,anaerobic,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,0,,Traitar,
AB002518.1.1416,Bacillota,Streptococcus,facultatively,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,
AB006120.1.1355,Bacillota,Streptococcus,anaerobic,0.687,SNE_predicted,0.7874457174470512,positive,0.702,SNE_predicted,0.7491987179487181,0,0.872,SNE_predicted,0.6181818181818182,0,0.904,SNE_predicted,0.5636363636363636,0,0.514,SNE_predicted,0.612962962962963,0,0.777,SNE_predicted,0.4560117302052785,0,0.954,SNE_predicted,0.6527777777777778,0,0.859,SNE_predicted,0.5305555555555554,1,0.729,SNE_predicted,0.6324137931034484,1,0.503,SNE_predicted,0.5872576177285318,0,0.625,SNE_predicted,0.5538651315789473,0,0.939,SNE_predicted,0.7096774193548386
AB006125.1.1294,Bacillota,Streptococcus,facultatively,,Traitar,,positive,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,,0,,Traitar,,1,,Traitar,,1,,Traitar,,1,,Traitar,,0,,Traitar,
