otu_id	kingdom	phylum	class	order	family	genus	species
AAAA02020714.1.1202	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
AAFJ01000001.39328.40836	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
AAQK01001555.694.2198	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	
AAQK01003909.1492.2988	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Tractidigestivibacter	
AATC01000018.2.1513	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Incertae Sedis	
AATF01002564.10.1217	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	
AAXA02000007.1.1294	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
AB002518.1.1416	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB006120.1.1355	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB006125.1.1294	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB006127.1.1290	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
AB006769.1.1456	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Marinospirillum	
AB008514.1.1214	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
AB008531.1.1246	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	
AB009222.1.1414	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	
AB011816.1.1463	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
AB012207.1.1299	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	
AB012589.1.1484	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter	
AB022925.1.1450	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	
AB023972.1.1377	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Extibacter	
AB023973.1.1445	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Extibacter	
